,POA_CODE16,POA_NAME16,AREASQKM16,hail_size
1341,3938,3938,4.2898,0.0
1342,3939,3939,97.6869,0.0
1343,3940,3940,5.4644,0.0
1344,3941,3941,24.3905,0.0
1345,3942,3942,6.2857,0.0
1346,3943,3943,7.2449,0.0
1347,3944,3944,11.0964,0.0
1348,3945,3945,153.6199,0.0
1349,3946,3946,30.6097,0.0
1350,3950,3950,120.9764,5.0
1351,3951,3951,182.6483,0.0
1352,3953,3953,504.8298,0.0
1353,3954,3954,36.807,0.0
1354,3956,3956,498.4632,0.0
1355,3957,3957,65.313,0.0
1356,3958,3958,108.9795,0.0
1357,3959,3959,211.6176,3.0
1358,3960,3960,831.5162,0.0
1359,3962,3962,150.239,0.0
1360,3964,3964,2.8934,0.0
1361,3965,3965,8.8662,0.0
1362,3966,3966,124.1262,0.0
1363,3967,3967,87.9589,0.0
1364,3971,3971,835.935,0.0
1365,3975,3975,13.3829,0.0
1366,3976,3976,13.3423,0.0
1367,3977,3977,142.8266,2.0
1368,3978,3978,95.862,0.0
1369,3979,3979,69.8591,0.0
1370,3980,3980,37.0278,0.0
1371,3981,3981,198.4709,0.0
1372,3984,3984,235.0489,2.0
1373,3987,3987,79.5517,0.0
1374,3988,3988,126.6841,0.0
1375,3990,3990,25.7656,0.0
1376,3991,3991,49.1914,0.0
1377,3992,3992,99.0542,0.0
1378,3995,3995,198.9026,3.975
1379,3996,3996,151.814,2.0
1380,4000,4000,3.6673,6.795454545454546
1381,4005,4005,2.704,0.0
1382,4006,4006,5.2016,3.1875
1383,4007,4007,5.2852,0.0
1384,4008,4008,46.0443,0.0
1385,4009,4009,5.6147,0.0
1386,4010,4010,1.3224,0.0
1387,4011,4011,5.2687,0.0
1388,4012,4012,7.8454,0.0
1389,4013,4013,2.9887,0.0
1390,4014,4014,16.9127,4.3
1391,4017,4017,21.7655,5.0
1392,4018,4018,6.2815,0.0
1393,4019,4019,10.6634,0.0
1394,4020,4020,11.922,4.2
1395,4021,4021,5.349,0.0
1396,4022,4022,10.34,0.0
1397,4025,4025,175.3154,0.0
1398,4029,4029,0.1971,0.0
1399,4030,4030,5.8378,4.3
1400,4031,4031,4.7721,2.45
1401,4032,4032,7.508,0.0
1402,4034,4034,29.5422,2.8666666666666667
1403,4035,4035,19.0663,3.4333333333333336
1404,4036,4036,12.8364,5.949999999999999
1405,4037,4037,9.1057,0.0
1406,4051,4051,16.941,2.95
1407,4053,4053,22.512,4.3
1408,4054,4054,8.7809,0.0
1409,4055,4055,37.9889,2.625
1410,4059,4059,3.3042,3.233333333333333
1411,4060,4060,5.8255,2.0
1412,4061,4061,12.4344,0.0
1413,4064,4064,3.5905,0.0
1414,4065,4065,5.0054,0.0
1415,4066,4066,20.0067,3.733333333333333
1416,4067,4067,2.7534,0.0
1417,4068,4068,10.4375,4.0
1418,4069,4069,103.2441,3.62
1419,4070,4070,31.2733,0.0
1420,4072,4072,1.2208,0.0
1421,4073,4073,4.9721,0.0
1422,4074,4074,13.6903,4.675
1423,4075,4075,14.0797,3.114285714285714
1424,4076,4076,23.3992,0.0
1425,4077,4077,18.9843,4.0
1426,4078,4078,13.2186,2.775
1427,4101,4101,5.1014,0.5
1428,4102,4102,3.4279,3.502380952380953
1429,4103,4103,4.0601,0.0
1430,4104,4104,3.0297,0.0
1431,4105,4105,7.1451,4.3
